Time	Duty
0E-3    0%
3.27E-01	79%
3.28E-01	79%
3.29E-01	79%
3.30E-01	79%
3.31E-01	79%
3.32E-01	79%
3.33E-01	79%
3.34E-01	79%
3.35E-01	79%
3.36E-01	79%
3.37E-01	79%
3.38E-01	79%
3.39E-01	79%
3.40E-01	79%
3.41E-01	79%
3.42E-01	79%
3.43E-01	79%
3.44E-01	79%
3.45E-01	79%
3.46E-01	79%
3.47E-01	79%
3.48E-01	79%
3.49E-01	79%
3.50E-01	79%
3.51E-01	79%
3.52E-01	79%
3.53E-01	79%
3.54E-01	79%
3.55E-01	79%
3.56E-01	79%
3.57E-01	79%
3.58E-01	79%
3.59E-01	79%
3.60E-01	79%
3.61E-01	79%
3.62E-01	79%
3.63E-01	79%
3.64E-01	79%
3.65E-01	79%
3.66E-01	79%
3.67E-01	79%
3.68E-01	79%
3.69E-01	79%
3.70E-01	79%
3.71E-01	79%
3.72E-01	79%
3.73E-01	79%
3.74E-01	79%
3.75E-01	79%
3.76E-01	79%
3.77E-01	79%
3.78E-01	79%
3.79E-01	79%
3.80E-01	79%
3.81E-01	79%
3.82E-01	79%
3.83E-01	79%
3.84E-01	79%
3.85E-01	79%
3.86E-01	79%
3.87E-01	79%
3.88E-01	79%
3.89E-01	79%
3.90E-01	79%
3.91E-01	79%
3.92E-01	79%
3.93E-01	79%
3.94E-01	79%
3.95E-01	79%
3.96E-01	79%
3.97E-01	79%
3.98E-01	79%
3.99E-01	79%
4.00E-01	79%
4.01E-01	79%
4.02E-01	79%
4.03E-01	79%
4.04E-01	79%
4.05E-01	79%
4.06E-01	79%
4.07E-01	79%
4.08E-01	79%
4.09E-01	79%
4.10E-01	79%
4.11E-01	79%
4.12E-01	79%
4.13E-01	79%
4.14E-01	79%
4.15E-01	79%
4.16E-01	79%
4.17E-01	79%
4.18E-01	79%
4.19E-01	79%
4.20E-01	79%
4.21E-01	79%
4.22E-01	79%
4.23E-01	79%
4.24E-01	79%
4.25E-01	79%
4.26E-01	79%
4.27E-01	79%
4.28E-01	79%
4.29E-01	79%
4.30E-01	79%
4.31E-01	79%
4.32E-01	79%
4.33E-01	79%
4.34E-01	79%
4.35E-01	79%
4.36E-01	79%
4.37E-01	79%
4.38E-01	79%
4.39E-01	79%
4.40E-01	79%
4.41E-01	79%
4.42E-01	79%
4.43E-01	79%
4.44E-01	79%
4.45E-01	79%
4.46E-01	79%
4.47E-01	79%
4.48E-01	79%
4.49E-01	79%
4.50E-01	79%
4.51E-01	79%
4.52E-01	79%
4.53E-01	79%
4.54E-01	79%
4.55E-01	79%
4.56E-01	79%
4.57E-01	79%
4.58E-01	79%
4.59E-01	79%
4.60E-01	79%
4.61E-01	79%
4.62E-01	79%
4.63E-01	79%
4.64E-01	79%
4.65E-01	79%
4.66E-01	79%
4.67E-01	79%
4.68E-01	79%
4.69E-01	79%
4.70E-01	79%
4.71E-01	79%
4.72E-01	79%
4.73E-01	79%
4.74E-01	79%
4.75E-01	79%
4.76E-01	79%
4.77E-01	79%
4.78E-01	79%
4.79E-01	79%
4.80E-01	79%
4.81E-01	79%
4.82E-01	79%
4.83E-01	79%
4.84E-01	79%
4.85E-01	79%
4.86E-01	79%
4.87E-01	79%
4.88E-01	79%
4.89E-01	79%
4.90E-01	79%
4.91E-01	79%
4.92E-01	79%
4.93E-01	79%
4.94E-01	79%
4.95E-01	79%
4.96E-01	79%
4.97E-01	79%
4.98E-01	79%
4.99E-01	79%
5.00E-01	79%
5.01E-01	79%
5.02E-01	79%
5.03E-01	79%
5.04E-01	79%
5.05E-01	79%
5.06E-01	79%
5.07E-01	79%
5.08E-01	79%
5.09E-01	79%
5.10E-01	79%
5.11E-01	79%
5.12E-01	79%
5.13E-01	79%
5.14E-01	79%
5.15E-01	79%
5.16E-01	79%
5.17E-01	79%
5.18E-01	79%
5.19E-01	79%
5.20E-01	79%
5.21E-01	79%
5.22E-01	79%
5.23E-01	79%
5.24E-01	79%
5.25E-01	79%
5.26E-01	79%
5.27E-01	79%
5.28E-01	79%
5.29E-01	79%
5.30E-01	79%
5.31E-01	79%
5.32E-01	79%
5.33E-01	79%
5.34E-01	79%
5.35E-01	79%
5.36E-01	79%
5.37E-01	79%
5.38E-01	79%
5.39E-01	79%
5.40E-01	79%
5.41E-01	79%
5.42E-01	79%
5.43E-01	79%
5.44E-01	79%
5.45E-01	79%
5.46E-01	79%
5.47E-01	79%
5.48E-01	79%
5.49E-01	79%
5.50E-01	79%
5.51E-01	79%
5.52E-01	79%
5.53E-01	79%
5.54E-01	79%
5.55E-01	79%
5.56E-01	79%
5.57E-01	79%
5.58E-01	79%
5.59E-01	79%
5.60E-01	79%
5.61E-01	79%
5.62E-01	79%
5.63E-01	79%
5.64E-01	79%
5.65E-01	79%
5.66E-01	79%
5.67E-01	79%
5.68E-01	79%
5.69E-01	79%
5.70E-01	79%
5.71E-01	79%
5.72E-01	79%
5.73E-01	79%
5.74E-01	79%
5.75E-01	79%
