qTime	Current
3.56E-01	0.592969
3.57E-01	0.226562
3.58E-01	-0.347656
3.59E-01	-0.286719
3.60E-01	-0.282812
3.61E-01	0.090625
3.62E-01	0.179688
3.63E-01	0.377344
3.64E-01	0.592188
3.65E-01	0.667188
3.66E-01	0.588281
3.67E-01	0.159375
3.68E-01	-0.299219
3.69E-01	-0.311719
3.70E-01	-0.292969
3.71E-01	0.0445312
3.72E-01	0.155469
3.73E-01	0.427344
3.74E-01	0.565625
3.75E-01	0.677344
3.76E-01	0.517187
3.77E-01	0.288281
3.78E-01	-0.333594
3.79E-01	-0.321094
3.80E-01	-0.19375
3.81E-01	0.05
3.82E-01	0.1375
3.83E-01	0.419531
3.84E-01	0.60625
3.85E-01	0.632813
3.86E-01	0.515625
3.87E-01	0.326563
3.88E-01	-0.346094
3.89E-01	-0.235937
3.90E-01	-0.235937
3.91E-01	0.0703125
3.92E-01	0.207031
3.93E-01	0.389844
3.94E-01	0.635156
3.95E-01	0.683594
3.96E-01	0.542188
3.97E-01	0.109375
3.98E-01	-0.321094
3.99E-01	-0.282812
4.00E-01	-0.272656
4.01E-01	0.0789063
4.02E-01	0.153906
4.03E-01	0.438281
4.04E-01	0.546094
4.05E-01	0.671094
4.06E-01	0.405469
4.07E-01	0.242969
4.08E-01	-0.348437
4.09E-01	-0.248438
4.10E-01	-0.226562
4.11E-01	0.078125
4.12E-01	0.198438
4.13E-01	0.328125
4.14E-01	0.574219
4.15E-01	0.628906
4.16E-01	0.53125
4.17E-01	0.125
4.18E-01	-0.275
4.19E-01	-0.299219
4.20E-01	-0.246094
4.21E-01	0.0679687
4.22E-01	0.169531
4.23E-01	0.371094
4.24E-01	0.529688
4.25E-01	0.677344
4.26E-01	0.46875
4.27E-01	0.245313
4.28E-01	-0.325781
4.29E-01	-0.224219
4.30E-01	-0.216406
4.31E-01	0.0539063
4.32E-01	0.132812
4.33E-01	0.39375
4.34E-01	0.489062
4.35E-01	0.691406
4.36E-01	0.397656
4.37E-01	0.165625
4.38E-01	-0.301562
4.39E-01	-0.242969
4.40E-01	-0.229687
4.41E-01	0.04375
4.42E-01	0.149219
4.43E-01	0.36875
4.44E-01	0.535156
4.45E-01	0.63125
4.46E-01	0.342969
4.47E-01	0.163281
4.48E-01	-0.321875
4.49E-01	-0.272656
4.50E-01	-0.235937
4.51E-01	0.071875
4.52E-01	0.15
4.53E-01	0.373438
4.54E-01	0.529688
4.55E-01	0.60625
4.56E-01	0.363281
4.57E-01	0.175781
4.58E-01	-0.315625
4.59E-01	-0.242188
4.60E-01	-0.25625
4.61E-01	0.0578125
4.62E-01	0.135938
4.63E-01	0.328125
4.64E-01	0.464844
4.65E-01	0.566406
4.66E-01	0.433594
4.67E-01	0.009375
4.68E-01	-0.236719
4.69E-01	-0.296875
4.70E-01	-0.246094
4.71E-01	-0.0046875
4.72E-01	0.19375
4.73E-01	0.350781
4.74E-01	0.45
4.75E-01	0.539844
4.76E-01	0.328125
4.77E-01	0.0382813
4.78E-01	-0.311719
4.79E-01	-0.215625
4.80E-01	-0.238281
4.81E-01	0.0648438
4.82E-01	0.115625
4.83E-01	0.346875
4.84E-01	0.553906
4.85E-01	0.489062
4.86E-01	0.409375
4.87E-01	-0.0226562
4.88E-01	-0.310938
4.89E-01	-0.234375
4.90E-01	-0.266406
4.91E-01	0.0140625
4.92E-01	0.139063
4.93E-01	0.330469
4.94E-01	0.495313
4.95E-01	0.475
4.96E-01	0.344531
4.97E-01	0.015625
4.98E-01	-0.338281
4.99E-01	-0.2625
5.00E-01	-0.225781
5.01E-01	0.0140625
5.02E-01	0.153125
5.03E-01	0.260938
5.04E-01	0.472656
5.05E-01	0.564062
5.06E-01	0.3
5.07E-01	-0.0265625
5.08E-01	-0.222656
5.09E-01	-0.332031
5.10E-01	-0.235937
5.11E-01	0.00078125
5.12E-01	0.139844
5.13E-01	0.3
5.14E-01	0.471094
5.15E-01	0.435938
5.16E-01	0.296094
5.17E-01	-0.0882813
5.18E-01	-0.327344
5.19E-01	-0.266406
5.20E-01	-0.246094
5.21E-01	0.0078125
5.22E-01	0.153125
5.23E-01	0.336719
5.24E-01	0.434375
5.25E-01	0.3875
5.26E-01	0.257812
5.27E-01	-0.0882813
5.28E-01	-0.339844
5.29E-01	-0.272656
5.30E-01	-0.225781
5.31E-01	0.0132812
5.32E-01	0.0953125
5.33E-01	0.23125
5.34E-01	0.446094
5.35E-01	0.430469
5.36E-01	0.257031
5.37E-01	-0.0835937
5.38E-01	-0.280469
5.39E-01	-0.317969
5.40E-01	-0.220312
5.41E-01	0.00546875
5.42E-01	0.135938
5.43E-01	0.291406
5.44E-01	0.432031
5.45E-01	0.425781
5.46E-01	0.176563
5.47E-01	-0.160937
5.48E-01	-0.257031
5.49E-01	-0.230469
5.50E-01	-0.246875
5.51E-01	0.0234375
5.52E-01	0.141406
5.53E-01	0.273438
5.54E-01	0.385156
5.55E-01	0.354688
5.56E-01	0.149219
5.57E-01	-0.167187
5.58E-01	-0.314062
5.59E-01	-0.323437
5.60E-01	-0.25
5.61E-01	0.0382813
5.62E-01	0.113281
5.63E-01	0.241406
5.64E-01	0.391406
5.65E-01	0.450781
5.66E-01	0.23125
5.67E-01	-0.244531
5.68E-01	-0.319531
5.69E-01	-0.260156
5.70E-01	-0.221875
5.71E-01	0.04375
5.72E-01	0.123438
5.73E-01	0.279688
5.74E-01	0.378906
5.75E-01	0.4625
5.76E-01	0.186719
5.77E-01	-0.19375
5.78E-01	-0.211719
5.79E-01	-0.239844
5.80E-01	-0.257031
5.81E-01	0.0273438
5.82E-01	0.0804688
5.83E-01	0.3
5.84E-01	0.417188
5.85E-01	0.396875
5.86E-01	0.2125
5.87E-01	-0.203906
5.88E-01	-0.339844
5.89E-01	-0.299219
5.90E-01	-0.236719
5.91E-01	0.021875
5.92E-01	0.129688
5.93E-01	0.285156
5.94E-01	0.372656
5.95E-01	0.464063
5.96E-01	0.171875
5.97E-01	-0.177344
5.98E-01	-0.197656
5.99E-01	-0.273438
6.00E-01	-0.228125
6.01E-01	0.0539063
6.02E-01	0.123438
6.03E-01	0.307813
6.04E-01	0.415625
6.05E-01	0.427344
6.06E-01	0.277344
6.07E-01	-0.179688
6.08E-01	-0.275
6.09E-01	-0.280469
6.10E-01	-0.221875
6.11E-01	0.0484375
6.12E-01	0.15625
6.13E-01	0.277344
6.14E-01	0.454687
6.15E-01	0.525
6.16E-01	0.28125
6.17E-01	-0.191406
6.18E-01	-0.234375
6.19E-01	-0.321875
6.20E-01	-0.189062
6.21E-01	0.0742188
6.22E-01	0.13125
6.23E-01	0.273438
6.24E-01	0.521875
6.25E-01	0.485156
6.26E-01	0.214063
6.27E-01	-0.121094
6.28E-01	-0.310938
6.29E-01	-0.263281
6.30E-01	-0.158594
6.31E-01	0.0234375
6.32E-01	0.171875
6.33E-01	0.342188
6.34E-01	0.478906
6.35E-01	0.460156
6.36E-01	0.303906
6.37E-01	-0.107813
6.38E-01	-0.211719
6.39E-01	-0.332031
6.40E-01	-0.201563
6.41E-01	0.04375
6.42E-01	0.171875
6.43E-01	0.427344
6.44E-01	0.491406
6.45E-01	0.45
6.46E-01	0.31875
6.47E-01	-0.178906
6.48E-01	-0.270312
6.49E-01	-0.324219
6.50E-01	-0.153125
6.51E-01	0.0617188
6.52E-01	0.203906
6.53E-01	0.389063
6.54E-01	0.513281
6.55E-01	0.458594
6.56E-01	0.298437
6.57E-01	-0.108594
6.58E-01	-0.191406
6.59E-01	-0.323437
6.60E-01	-0.107813
6.61E-01	0.0382813
6.62E-01	0.217188
6.63E-01	0.415625
6.64E-01	0.535156
6.65E-01	0.525781
6.66E-01	0.260938
6.67E-01	-0.0976562
6.68E-01	-0.321094
6.69E-01	-0.290625
6.70E-01	-0.164844
6.71E-01	0.071875
6.72E-01	0.186719
6.73E-01	0.389844
6.74E-01	0.602344
6.75E-01	0.551562
6.76E-01	0.335938
6.77E-01	-0.178906
6.78E-01	-0.280469
6.79E-01	-0.305469
6.80E-01	-0.122656
6.81E-01	0.0804688
6.82E-01	0.239063
6.83E-01	0.397656
6.84E-01	0.549219
6.85E-01	0.588281
6.86E-01	0.249219
6.87E-01	-0.122656
6.88E-01	-0.321875
6.89E-01	-0.195312
6.90E-01	-0.150781
6.91E-01	0.0726563
6.92E-01	0.180469
6.93E-01	0.378906
6.94E-01	0.566406
6.95E-01	0.571875
6.96E-01	0.330469
6.97E-01	-0.128906
6.98E-01	-0.289062
6.99E-01	-0.2875
7.00E-01	-0.0671875
7.01E-01	0.0640625
7.02E-01	0.149219
7.03E-01	0.438281
7.04E-01	0.592969
7.05E-01	0.51875
7.06E-01	0.364844
7.07E-01	-0.153125
7.08E-01	-0.229687
7.09E-01	-0.327344
7.10E-01	-0.003125
7.11E-01	0.0890625
7.12E-01	0.250781
7.13E-01	0.385156
7.14E-01	0.627344
7.15E-01	0.54375
7.16E-01	0.379688
7.17E-01	-0.197656
7.18E-01	-0.290625
7.19E-01	-0.309375
7.20E-01	-0.053125
7.21E-01	0.0703125
7.22E-01	0.230469
7.23E-01	0.413281
7.24E-01	0.489062
7.25E-01	0.579687
7.26E-01	0.264844
7.27E-01	-0.145312
7.28E-01	-0.341406
7.29E-01	-0.209375
7.30E-01	-0.0835937
7.31E-01	0.105469
7.32E-01	0.2125
7.33E-01	0.433594
7.34E-01	0.565625
7.35E-01	0.564062
7.36E-01	0.291406
7.37E-01	-0.165625
7.38E-01	-0.303125
7.39E-01	-0.299219
7.40E-01	-0.0773437
7.41E-01	0.0546875
7.42E-01	0.2
7.43E-01	0.442187
7.44E-01	0.614844
7.45E-01	0.501562
7.46E-01	0.275781
7.47E-01	-0.246875
7.48E-01	-0.305469
7.49E-01	-0.286719
7.50E-01	-0.09375
7.51E-01	0.075
7.52E-01	0.210938
7.53E-01	0.401563
7.54E-01	0.532031
7.55E-01	0.579687
7.56E-01	0.230469
7.57E-01	-0.225781
7.58E-01	-0.29375
7.59E-01	-0.305469
7.60E-01	-0.0921875
7.61E-01	0.075
7.62E-01	0.269531
7.63E-01	0.407812
7.64E-01	0.572656
7.65E-01	0.503125
7.66E-01	0.186719
7.67E-01	-0.292969
7.68E-01	-0.35
7.69E-01	-0.254687
7.70E-01	-0.0578125
7.71E-01	0.0625
7.72E-01	0.254688
7.73E-01	0.409375
7.74E-01	0.576563
7.75E-01	0.439844
7.76E-01	0.153906
7.77E-01	-0.282812
7.78E-01	-0.335938
7.79E-01	-0.209375
7.80E-01	-0.0640625
7.81E-01	0.109375
7.82E-01	0.226562
7.83E-01	0.397656
7.84E-01	0.553906
7.85E-01	0.489062
7.86E-01	0.185938
7.87E-01	-0.283594
7.88E-01	-0.328125
7.89E-01	-0.252344
7.90E-01	-0.0679687
7.91E-01	0.0921875
7.92E-01	0.249219
7.93E-01	0.383594
7.94E-01	0.484375
7.95E-01	0.417188
7.96E-01	0.129688
7.98E-01	-0.332031
7.99E-01	-0.171875
8.00E-01	-0.289062
8.01E-01	-0.0210937
8.02E-01	0.0601562
8.03E-01	0.183594
8.04E-01	0.349219
8.05E-01	0.484375
8.06E-01	0.389063
8.07E-01	0.125781
8.08E-01	-0.303906
8.09E-01	-0.335938
8.10E-01	-0.276562
8.11E-01	-0.0570313
8.12E-01	0.05625
8.13E-01	0.21875
8.14E-01	0.3625
8.15E-01	0.446094
8.16E-01	0.363281
8.17E-01	0.2375
8.18E-01	-0.313281
8.19E-01	-0.338281
8.20E-01	-0.275
8.21E-01	-0.0398437
8.22E-01	0.0664062
8.23E-01	0.228906
8.24E-01	0.414063
8.25E-01	0.453906
8.26E-01	0.372656
8.27E-01	0.15625
8.28E-01	-0.313281
8.29E-01	-0.328125
8.30E-01	-0.292969
8.31E-01	-0.00703125
8.32E-01	0.04375
8.33E-01	0.2
8.34E-01	0.363281
8.35E-01	0.44375
8.36E-01	0.359375
8.37E-01	-0.00234375
8.38E-01	-0.28125
8.39E-01	-0.215625
8.40E-01	-0.28125
8.41E-01	-0.108594
8.42E-01	0.0195312
8.43E-01	0.180469
8.44E-01	0.3
8.45E-01	0.423437
8.46E-01	0.3125
8.47E-01	0.139844
8.48E-01	-0.300781
8.49E-01	-0.332031
8.50E-01	-0.264844
8.51E-01	-0.0414063
8.52E-01	0.00390625
8.53E-01	0.149219
8.54E-01	0.342969
8.55E-01	0.491406
8.56E-01	0.35625
8.57E-01	-1.74297
8.58E-01	-3.64609
8.59E-01	-3.49219
8.60E-01	-3.525
8.61E-01	-3.77109
8.62E-01	-4.15469
8.63E-01	-0.720312
8.64E-01	0.359375
8.65E-01	8.01484
8.66E-01	7.99609
8.67E-01	-1.10625
8.68E-01	-1.59297
8.69E-01	-3.09844
8.70E-01	-2.59609
8.71E-01	-2.19219
8.72E-01	-0.945312
8.73E-01	2.86094
8.74E-01	8.08594
8.75E-01	8.04453
8.76E-01	7.97031
8.77E-01	7.95938
8.78E-01	0.0890625
8.79E-01	-1.03437
8.80E-01	-1.11328
8.81E-01	0.641406
8.82E-01	2.56641
8.83E-01	8.09375
8.84E-01	8.06484
8.85E-01	8.04297
8.86E-01	7.98359
