Time	Measured Voltage
-0.0033	1.501176471
-0.0027	1.501176471
-0.0027	1.630588235
-0.0015	1.630588235
-0.0015	1.772941176
-0.0003	1.772941176
-0.0003	1.915294118
0.0009	1.915294118
0.0009	0.905882353
0.0021	0.905882353
0.0021	0.232941176
0.0032	0.232941176
0.0032	0.362352941
0.0044	0.362352941
0.0044	0.504705882
0.0056	0.504705882
0.0056	0.647058824
0.00681	0.647058824
0.00681	0.789411765
0.008	0.789411765
0.008	0.931764706
0.00918	0.931764706
0.00918	1.074117647
0.01037	1.074117647
0.01037	1.203529412
0.01156	1.203529412
0.01156	1.345882353
0.01275	1.345882353
0.01275	1.488235294
0.01394	1.488235294
0.01394	1.630588235
0.01512	1.630588235
0.01512	1.772941176
0.016308	1.772941176
0.016308	1.915294118
0.017496	1.915294118
0.017496	0.983529412
0.01878	0.983529412
0.01868	0.22
0.01987	0.22
0.01987	0.362352941
0.02106	0.362352941
0.02106	0.504705882
0.02224	0.504705882
0.02224	0.647058824
0.02343	0.647058824
0.02343	0.776470588
0.02462	0.776470588
0.02462	0.918823529
0.0258	0.918823529
0.0258	1.061176471
0.027	1.061176471
0.027	1.203529412
0.0282	1.203529412
0.0282	1.345882353
0.0294	1.345882353
0.0294	1.488235294
0.0306	1.488235294
0.0306	1.617647059
0.0317	1.617647059
0.0317	1.76
0.0329	1.76
0.0329	1.902352941
0.0341	1.902352941
0.0341	1.048235294
0.0353	1.048235294
0.0353	0.22
0.0365	0.22
0.0365	0.362352941
0.0372  0.362352941
