Time	Duty
3.24E-01	40%
3.25E-01	40%
3.26E-01	40%
3.28E-01	43%
3.29E-01	45%
3.30E-01	46%
3.31E-01	47%
3.32E-01	48%
3.33E-01	46%
3.34E-01	42%
3.35E-01	40%
3.36E-01	41%
3.37E-01	41%
3.38E-01	43%
3.39E-01	45%
3.40E-01	48%
3.41E-01	48%
3.42E-01	47%
3.43E-01	46%
3.44E-01	42%
3.45E-01	40%
3.46E-01	40%
3.47E-01	41%
3.48E-01	42%
3.49E-01	45%
3.50E-01	46%
3.51E-01	47%
3.52E-01	48%
3.53E-01	45%
3.54E-01	42%
3.55E-01	41%
3.56E-01	41%
3.57E-01	40%
3.58E-01	41%
3.59E-01	46%
3.60E-01	46%
3.61E-01	47%
3.62E-01	48%
3.63E-01	46%
3.64E-01	41%
3.65E-01	41%
3.66E-01	40%
3.67E-01	41%
3.68E-01	42%
3.69E-01	45%
3.70E-01	47%
3.71E-01	48%
3.72E-01	47%
3.73E-01	44%
3.74E-01	40%
3.75E-01	40%
3.76E-01	40%
3.77E-01	40%
3.78E-01	43%
3.79E-01	46%
3.80E-01	48%
3.81E-01	48%
3.82E-01	47%
3.83E-01	45%
3.84E-01	41%
3.85E-01	40%
3.86E-01	40%
3.87E-01	40%
3.88E-01	43%
3.89E-01	46%
3.90E-01	47%
3.91E-01	47%
3.92E-01	48%
3.93E-01	46%
3.94E-01	41%
3.95E-01	40%
3.96E-01	40%
3.97E-01	41%
3.98E-01	42%
3.99E-01	45%
4.00E-01	47%
4.01E-01	47%
4.02E-01	48%
4.03E-01	47%
4.04E-01	42%
4.05E-01	41%
4.06E-01	41%
4.07E-01	42%
4.08E-01	41%
4.09E-01	45%
4.10E-01	47%
4.11E-01	48%
4.12E-01	48%
4.13E-01	46%
4.14E-01	42%
4.15E-01	40%
4.16E-01	40%
4.17E-01	40%
4.18E-01	41%
4.19E-01	44%
4.20E-01	47%
4.21E-01	47%
4.22E-01	48%
4.23E-01	46%
4.24E-01	40%
4.25E-01	41%
4.26E-01	40%
4.27E-01	41%
4.28E-01	43%
4.29E-01	46%
4.30E-01	47%
4.31E-01	48%
4.32E-01	47%
4.33E-01	46%
4.34E-01	40%
4.35E-01	40%
4.36E-01	40%
4.37E-01	40%
4.38E-01	44%
4.39E-01	46%
4.40E-01	48%
4.41E-01	47%
4.42E-01	46%
4.43E-01	44%
4.44E-01	41%
4.45E-01	40%
4.46E-01	40%
4.47E-01	41%
4.48E-01	43%
4.49E-01	46%
4.50E-01	47%
4.51E-01	48%
4.52E-01	47%
4.53E-01	46%
4.54E-01	42%
4.55E-01	40%
4.56E-01	41%
4.57E-01	40%
4.58E-01	43%
4.59E-01	46%
4.60E-01	46%
4.61E-01	47%
4.62E-01	48%
4.63E-01	47%
4.64E-01	43%
4.65E-01	41%
4.66E-01	41%
4.67E-01	41%
4.68E-01	41%
4.69E-01	44%
4.70E-01	48%
4.71E-01	48%
4.72E-01	48%
4.73E-01	45%
4.74E-01	42%
4.75E-01	40%
4.76E-01	41%
4.77E-01	40%
4.78E-01	41%
4.79E-01	45%
4.80E-01	48%
4.81E-01	48%
4.82E-01	47%
4.83E-01	43%
4.84E-01	41%
4.85E-01	40%
4.86E-01	40%
4.87E-01	41%
4.88E-01	45%
4.89E-01	47%
4.90E-01	48%
4.91E-01	49%
4.92E-01	48%
4.93E-01	44%
4.94E-01	41%
4.95E-01	40%
4.96E-01	40%
4.97E-01	40%
4.98E-01	42%
4.99E-01	47%
5.00E-01	46%
5.01E-01	47%
5.02E-01	46%
5.03E-01	45%
5.04E-01	42%
5.05E-01	40%
5.06E-01	40%
5.07E-01	41%
5.08E-01	44%
5.09E-01	47%
5.10E-01	47%
5.11E-01	48%
5.12E-01	47%
5.13E-01	45%
5.14E-01	40%
5.15E-01	40%
5.16E-01	40%
5.17E-01	41%
5.18E-01	43%
5.19E-01	46%
5.20E-01	46%
5.21E-01	47%
5.22E-01	48%
5.23E-01	47%
5.24E-01	43%
5.25E-01	40%
5.26E-01	41%
5.27E-01	41%
5.28E-01	42%
5.29E-01	45%
5.30E-01	47%
5.31E-01	48%
5.32E-01	48%
5.33E-01	45%
5.34E-01	40%
5.35E-01	41%
5.36E-01	40%
5.37E-01	40%
5.38E-01	42%
5.39E-01	45%
5.40E-01	46%
5.41E-01	47%
5.42E-01	46%
5.43E-01	43%
5.44E-01	40%
5.45E-01	40%
5.46E-01	41%
5.47E-01	42%
5.48E-01	42%
5.49E-01	46%
5.50E-01	48%
5.51E-01	48%
5.52E-01	47%
5.53E-01	44%
5.54E-01	41%
5.55E-01	39%
5.56E-01	40%
5.57E-01	41%
5.58E-01	43%
5.59E-01	46%
5.60E-01	47%
5.61E-01	48%
5.62E-01	48%
5.63E-01	45%
5.64E-01	40%
5.65E-01	40%
5.66E-01	40%
5.67E-01	41%
5.68E-01	44%
5.69E-01	45%
5.70E-01	48%
5.71E-01	48%
5.72E-01	49%
5.73E-01	47%
5.74E-01	41%
5.75E-01	40%
5.76E-01	40%
5.77E-01	40%
5.78E-01	43%
5.79E-01	45%
5.80E-01	47%
5.81E-01	48%
5.82E-01	49%
5.83E-01	47%
5.84E-01	42%
5.85E-01	40%
5.86E-01	41%
5.87E-01	40%
5.88E-01	42%
5.89E-01	45%
5.90E-01	47%
5.91E-01	47%
5.92E-01	48%
5.93E-01	44%
5.94E-01	40%
5.95E-01	41%
5.96E-01	40%
