Time	Duty
0   0%
0.35478000	73%
0.35577200	73%
0.35676200	73%
0.35775400	73%
0.35874400	73%
0.35973400	73%
0.36072600	73%
0.36171600	73%
0.36270800	73%
0.36369800	73%
0.36468800	73%
0.36568000	73%
0.36667000	73%
0.36766200	73%
0.36865200	73%
0.36964400	73%
0.37063400	73%
0.37162400	73%
0.37261600	73%
0.37360600	73%
0.37459800	73%
0.37558800	73%
0.37658000	73%
0.37757000	73%
0.37856000	73%
0.37955200	73%
0.38054200	73%
0.38153400	73%
0.38252400	73%
0.38351600	73%
0.38450600	73%
0.38549800	73%
0.38648800	73%
0.38747800	73%
0.38847000	73%
0.38946000	73%
0.39045200	73%
0.39144200	73%
0.39243400	73%
0.39342400	73%
0.39441400	73%
0.39540600	73%
0.39639600	73%
0.39738800	73%
0.39837800	73%
0.39937000	73%
0.40036000	73%
0.40135200	73%
0.40234200	73%
0.40333400	73%
0.40432400	73%
0.40531400	73%
0.40630600	73%
0.40729600	73%
0.40828800	73%
0.40927800	73%
0.41027000	73%
0.41126000	73%
0.41225200	73%
0.41324200	73%
0.41423400	73%
0.41522400	73%
0.41621600	73%
0.41720600	73%
0.41819800	73%
0.41918800	73%
0.42018000	73%
0.42117000	73%
0.42216200	73%
0.42315200	73%
0.42414200	73%
0.42513400	73%
0.42612400	73%
0.42711600	73%
0.42810600	73%
0.42909800	73%
0.43008800	73%
0.43108000	73%
0.43207000	73%
0.43306200	73%
0.43405200	73%
0.43504400	73%
0.43603400	73%
0.43702600	73%
0.43801600	73%
0.43900800	73%
0.43999800	73%
0.44098800	73%
0.44198000	73%
0.44297000	73%
0.44396200	73%
0.44495200	73%
0.44594400	73%
0.44693400	73%
0.44792400	73%
0.44891600	73%
0.44990600	73%
0.45089800	73%
0.45188800	73%
0.45288000	73%
0.45387000	73%
0.45486200	73%
0.45585200	73%
0.45684400	73%
0.45783400	73%
0.45882400	73%
0.45981600	73%
0.46080600	73%
0.46179800	73%
0.46278800	73%
0.46378000	73%
0.46477000	73%
0.46576200	73%
0.46675200	73%
0.46774400	73%
0.46873400	73%
0.46972600	73%
0.47071600	73%
0.47170800	73%
0.47269800	73%
0.47369000	73%
0.47468000	73%
0.47567000	73%
0.47666200	73%
0.47765200	73%
0.47864400	73%
0.47963400	73%
0.48062600	73%
0.48161600	73%
0.48260800	73%
0.48359800	73%
0.48458800	73%
0.48558000	73%
0.48657000	73%
0.48756200	73%
0.48855200	73%
0.48954400	73%
0.49053400	73%
0.49152600	73%
0.49251600	73%
0.49350800	73%
0.49449800	73%
0.49549000	73%
0.49648000	73%
0.49747200	73%
0.49846200	73%
0.49945400	73%
0.50044400	73%
0.50143600	73%
0.50242600	73%
0.50341600	73%
0.50440800	73%
0.50539800	73%
0.50639000	73%
0.50738000	73%
0.50837200	73%
0.50936200	73%
0.51035400	73%
0.51134400	73%
0.51233600	73%
0.51332600	73%
0.51431800	73%
0.51530800	73%
0.51629800	73%
0.51729000	73%
0.51828000	73%
0.51927200	73%
0.52026200	73%
0.52125200	73%
0.52224400	73%
0.52323400	73%
0.52422400	73%
0.52521600	73%
0.52620600	73%
0.52719600	73%
0.52818800	73%
0.52917800	73%
0.53017000	73%
0.53116000	73%
0.53215200	73%
0.53314200	73%
0.53413200	73%
0.53512400	73%
0.53611400	73%
0.53710600	73%
0.53809600	73%
0.53908800	73%
0.54007800	73%
0.54107000	73%
0.54206000	73%
0.54305000	73%
0.54404200	73%
0.54503200	73%
0.54602400	73%
0.54701400	73%
0.54800600	73%
0.54899600	73%
0.54998600	73%
0.55097800	73%
0.55196800	73%
0.55296000	73%
0.55395000	73%
0.55494200	73%
0.55593200	73%
0.55692400	73%
0.55791400	73%
0.55890400	73%
0.55989600	73%
0.56088600	73%
0.56187800	73%
0.56286800	73%
0.56386000	73%
0.56485000	73%
0.56584200	73%
0.56683200	73%
0.56782400	73%
0.56881400	73%
0.56980400	73%
0.57079600	73%
0.57178600	73%
0.57277800	73%
0.57376800	73%
0.57476000	73%
0.57575000	73%
0.57674200	73%
0.57773200	73%
0.57872200	73%
0.57971400	73%
0.58070400	73%
0.58169600	73%
0.58268600	73%
0.58367600	73%
0.58466800	73%
0.58565800	73%
0.58664800	73%
0.58764000	73%
0.58863000	73%
0.58962200	73%
0.59061200	73%
0.59160200	73%
0.59259400	73%
0.59358400	73%
0.59457600	73%
0.59556600	73%
0.59655600	73%
0.59754800	73%
0.59853800	73%
0.59952800	73%
0.60052000	73%
0.60151000	73%
0.60250200	73%
0.60349200	73%
0.60448400	73%
0.60547400	73%
0.60646400	73%
0.60745600	73%
0.60844600	73%
0.60943600	73%
0.61042800	73%
