Time	Current
0.00297400	0.789844
0.00495600	0.707812
0.00594800	0.301563
0.00693800	0.307813
0.00793000	0.278125
0.00892200	0.271875
0.00991200	0.335938
0.01090400	0.352344
0.01189400	0.363281
0.01288600	0.283594
0.01387600	0.173437
0.01486800	0.0398438
0.01585800	-0.0539062
0.01685000	-0.0132812
0.01784000	0.0421875
0.01883200	0.0953125
0.01982400	0.161719
0.02081400	0.185938
0.02180600	0.188281
0.02279600	0.164062
0.02378800	0.146094
0.02477800	0.034375
0.02577000	-0.0476562
0.02676000	-0.00078125
0.02775200	0.0460938
0.02874200	0.0992187
0.02973400	0.170313
0.03072600	0.282031
0.03171600	0.332031
0.03270800	0.310156
0.03369800	0.240625
0.03469000	0.0851563
0.03568000	-0.0570313
0.03667200	0.021875
0.03766400	0.103125
0.03865400	0.123438
0.03964600	0.222656
0.04063600	0.434375
0.04162800	0.500781
0.04261800	0.440625
0.04361000	0.30625
0.04460200	0.185938
0.04559200	-0.0453125
0.04658400	0.0414063
0.04757600	0.0882813
0.04856600	0.214844
0.04955800	0.434375
0.05054800	0.525781
0.05154000	0.607031
0.05253000	0.604688
0.05352200	0.417969
0.05451400	0.236719
0.05550400	-0.10625
0.05649600	0.0320313
0.05748600	0.125
0.05847800	0.240625
0.05947000	0.397656
0.06046000	0.582812
0.06145200	0.755469
0.06244200	0.651563
0.06343400	0.503125
0.06442400	0.342188
0.06541600	-0.121094
0.06640600	-0.0679687
0.06739800	0.180469
0.06839000	0.253125
0.06938000	0.495313
0.07037200	0.689844
0.07136200	0.823438
0.07235400	0.819531
0.07334400	0.610937
0.07433600	0.427344
0.07532800	-0.195312
0.07631800	-0.102344
0.07731000	0.141406
0.07830000	0.263281
0.07929200	0.532031
0.08028200	0.732813
0.08127400	0.917188
0.08226400	0.878906
0.08325600	0.661719
0.08424800	0.444531
0.08523800	-0.19375
0.08623000	-0.16875
0.08722000	0.128906
0.08821200	0.315625
0.08920200	0.509375
0.09019400	0.842188
0.09118600	0.980469
0.09217600	1.00313
0.09316800	0.771094
0.09415800	0.472656
0.09515000	-0.144531
0.09614000	-0.276562
0.09713200	0.114844
0.09812400	0.289844
0.09911400	0.549219
0.10010600	0.880469
0.10109600	1.08828
0.10208800	1.0125
0.10307800	0.870313
0.10407000	0.545313
0.10506200	-0.138281
0.10605200	-0.232031
0.10704400	0.1125
0.10803400	0.261719
0.10902600	0.564062
0.11001600	0.900781
0.11100800	1.1
0.11199800	1.08984
0.11299000	0.909375
0.11398000	0.594531
0.11497200	-0.139063
0.11596200	-0.317187
0.11695400	0.114844
0.11794400	0.297656
0.11893600	0.478906
0.11992600	0.779688
0.12091800	0.978125
0.12190800	1.0375
0.12290000	0.886719
0.12389000	0.55625
0.12488200	-0.142969
0.12587200	-0.307031
0.12686400	0.0320313
0.12785400	0.210938
0.12884600	0.444531
0.12983600	0.714844
0.13082800	0.960156
0.13181800	1.00703
0.13281000	0.785156
0.13380000	0.507031
0.13479200	-0.0554687
0.13578200	-0.324219
0.13677400	-0.0875
0.13776400	0.147656
0.13875600	0.342188
0.13974600	0.610156
0.14073800	0.854688
0.14172800	0.94375
0.14272000	0.7625
0.14371000	0.513281
0.14470000	-0.0570313
0.14569200	-0.325781
0.14668200	-0.1125
0.14767400	0.141406
0.14866400	0.291406
0.14965600	0.529688
0.15064600	0.771094
0.15163800	0.872656
0.15262800	0.722656
0.15362000	0.486719
0.15461000	-0.0132812
0.15560200	-0.324219
0.15659200	-0.157031
0.15758400	0.135938
0.15857400	0.236719
0.15956600	0.470312
0.16055600	0.696094
0.16154800	0.80625
0.16253800	0.688281
0.16353000	0.464844
0.16452000	-0.0125
0.16551200	-0.307812
0.16650400	-0.201563
0.16749400	0.0726563
0.16848400	0.182031
0.16947600	0.415625
0.17046600	0.688281
0.17145800	0.810156
0.17245000	0.714063
0.17344000	0.489062
0.17443000	-0.009375
0.17542200	-0.2875
0.17641200	-0.236719
0.17740400	0.0703125
0.17839600	0.194531
0.17938600	0.4
0.18037800	0.632813
0.18136800	0.754687
0.18236000	0.677344
0.18335000	0.453906
0.18434200	0.0132812
0.18533200	-0.250781
0.18632400	-0.26875
0.18731400	0.0523437
0.18830600	0.167969
0.18929600	0.386719
0.19028800	0.574219
0.19128000	0.728125
0.19227000	0.677344
0.19326200	0.46875
0.19425200	0.103125
0.19524400	-0.260937
0.19623600	-0.290625
0.19722600	0.0585938
0.19821800	0.141406
0.19920800	0.325781
0.20020000	0.559375
0.20119000	0.703906
0.20218200	0.696094
0.20317200	0.484375
0.20416400	0.105469
0.20515400	-0.271094
0.20614400	-0.280469
0.20713600	0.0117188
0.20812600	0.110937
0.20911800	0.264844
0.21010800	0.528906
0.21110000	0.71875
0.21209000	0.732813
0.21308200	0.517187
0.21407200	0.178125
0.21506400	-0.311719
0.21605400	-0.324219
0.21704400	-0.003125
0.21803600	0.100781
0.21902600	0.289844
0.22001800	0.5375
0.22100800	0.657031
0.22200000	0.707812
0.22299000	0.494531
0.22398000	0.267969
0.22497200	-0.292969
0.22596200	-0.299219
0.22695400	-0.0640625
0.22794400	0.0789063
0.22893600	0.246875
0.22992600	0.475
0.23091600	0.6875
0.23190800	0.742969
0.23289800	0.523438
0.23389000	0.2375
0.23488000	-0.36875
0.23587200	-0.253125
0.23686200	-0.124219
0.23785400	0.0882813
0.23884400	0.210938
0.23983600	0.417188
0.24082600	0.626562
0.24181800	0.707812
0.24280800	0.55
0.24379800	0.283594
0.24479000	-0.344531
0.24578000	-0.315625
0.24677200	-0.171094
0.24776200	0.071875
0.24875400	0.214063
0.24974400	0.395313
0.25073600	0.586719
0.25172600	0.682031
0.25271600	0.542188
0.25370800	0.311719
0.25469800	-0.275
0.25569000	-0.344531
0.25668000	-0.219531
0.25767200	0.05625
0.25866200	0.189844
0.25965400	0.414063
0.26064400	0.603125
0.26163600	0.678125
